STT,Mã Model,Tên Model,Dung tích (Lít),Kích thước (w x D x H) (mm),Giá hỗ trợ đại lý thân thiết (VAT 8%),Giá đại lý mới 2026 (VAT 8%),Giá bán lẻ đề xuất (VAT 8%)
1,SPC-0250,Tủ mát 1 cánh,194.0,540 x 530 x 1310,"7,495,200","8,240,400","10,303,200"
2,SPC-0270,Tủ mát 1 cánh,237.0,540 x 530 x 1510,"8,305,200","9,136,800","11,426,400"
3,SPC-0290,Tủ mát 1 cánh,266.0,540 x 530 x 1770,"8,920,800","9,817,200","12,268,800"
4,SPB-0300,Tủ mát 1 cánh Inverter,278.0,560 x 510 x 1650,"11,124,000","12,236,400","15,292,800"
5,SPB-0400,Tủ mát 1 cánh Inverter,357.0,615 x 510 x 1850,"12,690,000","13,964,400","17,452,800"
6,SPB-0500,Tủ mát 1 cánh Inverter,394.0,615 x 510 x 2000,"13,500,000","14,850,000","18,565,200"
7,SPE-0700,Tủ mát 1 cánh Inverter,638.0,700 x 710 x 2000,"18,900,000","20,790,000","25,984,800"
8,YPC-1100,Tủ mát 2 cánh,765.0,1100 x 600 x 2003,"20,088,000","22,096,800","27,626,400"
9,SPB-1000,Tủ mát 2 cánh Inverter,842.0,1235 x 510 x 2040,"24,300,000","26,730,000","33,415,200"
10,SPM-1200C,Tủ mát 2 cánh,1100.0,1200 x 750 x 2050,"25,272,000","27,799,200","34,754,400"
11,OEM-1205,Tủ mát 2 cánh Inverter,996.0,1200 x 650 x 2050,"28,080,000","30,888,000","38,610,000"
12,YPC-1650,Tủ mát 3 cánh,1160.0,1650 x 600 x 2003,"28,080,000","30,888,000","38,610,000"
13,SPM-1800C,Tủ mát 3 cánh,1650.0,1800 x 750 x 2050,"32,832,000","36,115,200","45,144,000"
14,OEM-1805,Tủ mát 3 cánh Inverter,1526.0,1800 x 650 x 2050,"37,260,000","40,986,000","51,235,200"
15,SPB-0500P,Tủ mát 1 cánh Premium Inverter,405.0,615 x 510 x 2000,"15,724,800","17,301,600","21,632,400"
